"","GRTS_ID","Total_biomass","Total_biomass_kg"
"1",1,3178.27394179895,3.17827394179895
"2",2,4886.26076361599,4.88626076361599
"3",3,4180.68554104989,4.18068554104989
"4",4,5244.40886505129,5.24440886505129
"5",5,7145.21966376191,7.14521966376191
"6",6,3681.79956247588,3.68179956247588
"7",7,1251.49177485505,1.25149177485505
"8",8,2060.4030424192,2.0604030424192
"9",9,10483.5514973221,10.4835514973221
"10",10,24.8571786466159,0.0248571786466159
"11",11,6130.33381372355,6.13033381372355
"12",12,6006.63697094098,6.00663697094098
"13",13,780.087556688112,0.780087556688112
"14",14,61.9068522224358,0.0619068522224358
"15",15,4275.53784461139,4.27553784461139
"16",16,8602.78083593236,8.60278083593236
"17",17,3052.74518164622,3.05274518164622
"18",18,14911.902235931,14.911902235931
"19",19,2323.78217642235,2.32378217642235
"20",20,8285.66121169782,8.28566121169782
"21",21,12438.6751624719,12.4386751624719
"22",22,673.42614426264,0.67342614426264
"23",23,3243.55457533431,3.24355457533431
"24",24,9165.5823185452,9.1655823185452
"25",25,3913.79912580509,3.91379912580509
"26",26,4382.38069679668,4.38238069679668
"27",27,4543.25603889462,4.54325603889462
"28",28,597.187688004367,0.597187688004367
"29",29,925.308102978989,0.925308102978989
"30",30,1708.78150947572,1.70878150947572
"31",31,8224.30764767853,8.22430764767853
"32",32,3196.27936723016,3.19627936723016
"33",33,200559.926283616,200.559926283616
"34",34,3313.37030360577,3.31337030360577
"35",35,4873.54151597963,4.87354151597963
"36",36,5161.28953732904,5.16128953732904
"37",37,27.5496476758481,0.0275496476758481
"38",38,17936.051075219,17.936051075219
"39",39,3618.51392131212,3.61851392131212
"40",40,13.0838362625563,0.0130838362625563
"41",41,1826.56928077399,1.82656928077399
"42",42,63.6044241326193,0.0636044241326193
"43",43,9104.77228527571,9.10477228527571
"44",44,5196.28025051407,5.19628025051407
"45",45,727.110736064033,0.727110736064033
"46",46,10605.708389887,10.605708389887
"47",47,765.494739182963,0.765494739182963
"48",48,367.774676472492,0.367774676472492
"49",49,5836.8846766825,5.8368846766825
"50",50,815.581699586056,0.815581699586056
"51",51,1072.56653761015,1.07256653761015
"52",52,2304.74192033091,2.30474192033091
"53",53,8813.38048155865,8.81338048155865
"54",54,50.0415862289517,0.0500415862289517
"55",55,505.434533429206,0.505434533429206
"56",56,1505.64838645315,1.50564838645315
"57",57,1812.98491717587,1.81298491717587
"58",58,818.60591275496,0.81860591275496
"59",59,2324.33961285473,2.32433961285473
"60",60,881.694188158078,0.881694188158078
"61",61,10048.4321654814,10.0484321654814
"62",62,1013.48337352592,1.01348337352592
"63",63,3473.12154850697,3.47312154850697
"64",64,12983.68421651,12.98368421651
"65",65,1172.43496987638,1.17243496987638
"66",66,3268.16539929407,3.26816539929407
"67",67,700.975791938488,0.700975791938488
"68",68,4840.57002340945,4.84057002340945
"69",69,4243.18942151125,4.24318942151125
"70",70,450.865208660833,0.450865208660833
"71",71,1803.52758319858,1.80352758319858
"72",72,76.7534451937376,0.0767534451937376
"73",73,5345.48735278393,5.34548735278393
"74",75,3652.30976012643,3.65230976012643
"75",76,581.873867620347,0.581873867620347
"76",77,2901.81528934109,2.90181528934109
"77",78,418.054246705814,0.418054246705814
"78",79,1932.59480063704,1.93259480063704
"79",80,560.659389332284,0.560659389332284
"80",81,3642.97467704785,3.64297467704785
"81",82,9687.40437202152,9.68740437202152
"82",83,10032.3848686877,10.0323848686877
"83",84,4417.33754514308,4.41733754514309
"84",85,1272.73086927952,1.27273086927952
"85",86,2569.66895854104,2.56966895854104
"86",87,9016.2990931783,9.0162990931783
"87",88,498.926970445736,0.498926970445736
"88",89,105.871460501725,0.105871460501725
"89",90,3985.54580659823,3.98554580659823
"90",91,5795.61337387367,5.79561337387367
"91",92,377.137804803798,0.377137804803798
"92",93,3193.93036927603,3.19393036927603
"93",94,616.985228583497,0.616985228583497
"94",95,320.403797457275,0.320403797457275
"95",96,74.2043550703097,0.0742043550703097
"96",97,171.077678381886,0.171077678381886
"97",98,2375.41053751135,2.37541053751135
"98",99,6422.75799968654,6.42275799968654
"99",100,272.45630214277,0.27245630214277
"100",101,8023.60516242863,8.02360516242863
"101",102,454.751921227303,0.454751921227303
"102",103,38159.9752929018,38.1599752929018
"103",104,6340.04167693269,6.34004167693269
"104",105,1525.78886322681,1.52578886322681
"105",107,5837.78804569191,5.83778804569191
"106",108,4083.98152131751,4.08398152131751
"107",109,4659.68651582717,4.65968651582717
"108",110,14049.5630974131,14.0495630974131
"109",111,8973.80398517391,8.97380398517391
"110",112,5231.87067475195,5.23187067475195
"111",113,4169.42381696595,4.16942381696595
"112",114,5985.68248452,5.98568248452
"113",115,1028.98540179799,1.02898540179799
"114",116,850.709075706584,0.850709075706584
"115",117,675.683142236961,0.675683142236961
"116",118,1418.32370876624,1.41832370876624
"117",119,2312.29997318566,2.31229997318566
"118",120,9205.75903561507,9.20575903561507
"119",121,2009.11606735485,2.00911606735485
"120",122,3280.32514979535,3.28032514979535
"121",123,3832.04995288064,3.83204995288064
"122",124,4723.83542843751,4.72383542843751
"123",125,2812.3274808308,2.8123274808308
"124",127,3763.74670292253,3.76374670292253
"125",128,866.403578618787,0.866403578618787
"126",129,1747.02109319996,1.74702109319996
"127",130,5271.62531268814,5.27162531268814
"128",131,12543.7835696136,12.5437835696136
"129",132,5276.28641623258,5.27628641623258
"130",133,142808.274678869,142.808274678869
"131",134,252.092390657067,0.252092390657067
"132",135,11342.9020860139,11.3429020860139
"133",136,5581.42004775356,5.58142004775356
