"","GRTS_ID","deployment_ID","Date","Broadscale_habitat","Mixed","Main_habitat","Secondary_habitat","Relief_score","Lat","Lon","TimeIN","TimeOUT","Depth","Temp","Rug_mean","Rug_range","Remoteness","Aspect_mean","Exposure","Slope_mean","MCZ","SAC","Time_high_tide","Time_low_tide","Height_of_tide","Habitat"
"1539",267,"3134","26/05/2023","Infralittoral rock","N","Infralittoral_rock","Kelp","2","49.90457","-6.40053","09:49:00","10:54:00","26.8","12.6","1.768212244","4.037771046","3211.2","203.780116","113.8","1.448553385","0","1","09:52:00","NA","4.4","Reefs"
"1540",267,"3134","26/05/2023","Infralittoral rock","N","Infralittoral_rock","Kelp","2","49.90457","-6.40053","09:49:00","10:54:00","26.8","12.6","1.768212244","4.037771046","3211.2","203.780116","113.8","1.448553385","0","1","09:52:00","NA","4.4","Reefs"
"1541",267,"3134","26/05/2023","Infralittoral rock","N","Infralittoral_rock","Kelp","2","49.90457","-6.40053","09:49:00","10:54:00","26.8","12.6","1.768212244","4.037771046","3211.2","203.780116","113.8","1.448553385","0","1","09:52:00","NA","4.4","Reefs"
"1542",267,"3134","26/05/2023","Infralittoral rock","N","Infralittoral_rock","Kelp","2","49.90457","-6.40053","09:49:00","10:54:00","26.8","12.6","1.768212244","4.037771046","3211.2","203.780116","113.8","1.448553385","0","1","09:52:00","NA","4.4","Reefs"
"1543",267,"3134","26/05/2023","Infralittoral rock","N","Infralittoral_rock","Kelp","2","49.90457","-6.40053","09:49:00","10:54:00","26.8","12.6","1.768212244","4.037771046","3211.2","203.780116","113.8","1.448553385","0","1","09:52:00","NA","4.4","Reefs"
"1544",267,"3134","26/05/2023","Infralittoral rock","N","Infralittoral_rock","Kelp","2","49.90457","-6.40053","09:49:00","10:54:00","26.8","12.6","1.768212244","4.037771046","3211.2","203.780116","113.8","1.448553385","0","1","09:52:00","NA","4.4","Reefs"
"1545",268,"1058","09/06/2022","Subtidal sediments","N","Subtidal_sediments","","1","49.95684","-6.2475","11:34:00","12:52:00","23.6","13.56","2.168608465","5.261959851","1196.2","122.8219115","32.8","1.98646162","1","1","13:04:00","NA","4.34","Sediment"
"1546",268,"1058","09/06/2022","Subtidal sediments","N","Subtidal_sediments","","1","49.95684","-6.2475","11:34:00","12:52:00","23.6","13.56","2.168608465","5.261959851","1196.2","122.8219115","32.8","1.98646162","1","1","13:04:00","NA","4.34","Sediment"
"1547",268,"1058","09/06/2022","Subtidal sediments","N","Subtidal_sediments","","1","49.95684","-6.2475","11:34:00","12:52:00","23.6","13.56","2.168608465","5.261959851","1196.2","122.8219115","32.8","1.98646162","1","1","13:04:00","NA","4.34","Sediment"
"1548",268,"1058","09/06/2022","Subtidal sediments","N","Subtidal_sediments","","1","49.95684","-6.2475","11:34:00","12:52:00","23.6","13.56","2.168608465","5.261959851","1196.2","122.8219115","32.8","1.98646162","1","1","13:04:00","NA","4.34","Sediment"
"1549",268,"1058","09/06/2022","Subtidal sediments","N","Subtidal_sediments","","1","49.95684","-6.2475","11:34:00","12:52:00","23.6","13.56","2.168608465","5.261959851","1196.2","122.8219115","32.8","1.98646162","1","1","13:04:00","NA","4.34","Sediment"
"1550",268,"1058","09/06/2022","Subtidal sediments","N","Subtidal_sediments","","1","49.95684","-6.2475","11:34:00","12:52:00","23.6","13.56","2.168608465","5.261959851","1196.2","122.8219115","32.8","1.98646162","1","1","13:04:00","NA","4.34","Sediment"
"1551",269,"3073","21/09/2022","Circalittoral rock","N","Mixed_faunal_turf","","2","49.977525","-6.311133","15:25:00","16:35:00","23","14.9","4.843640045","4.775103688","631","235.1661636","145.2","4.426630221","1","1","15:03:00","NA","4.4","Reefs"
"1552",269,"3073","21/09/2022","Circalittoral rock","N","Mixed_faunal_turf","","2","49.977525","-6.311133","15:25:00","16:35:00","23","14.9","4.843640045","4.775103688","631","235.1661636","145.2","4.426630221","1","1","15:03:00","NA","4.4","Reefs"
"1553",269,"3073","21/09/2022","Circalittoral rock","N","Mixed_faunal_turf","","2","49.977525","-6.311133","15:25:00","16:35:00","23","14.9","4.843640045","4.775103688","631","235.1661636","145.2","4.426630221","1","1","15:03:00","NA","4.4","Reefs"
"1554",269,"3073","21/09/2022","Circalittoral rock","N","Mixed_faunal_turf","","2","49.977525","-6.311133","15:25:00","16:35:00","23","14.9","4.843640045","4.775103688","631","235.1661636","145.2","4.426630221","1","1","15:03:00","NA","4.4","Reefs"
